Keyword,Est. Volume,Difficulty,Intent,CPC,Priority,Target Page,Status,Notes
buy bandhani saree online,High,Medium,Transactional,High,P1,/collections/bandhani-saree,TODO,Core product kw
lehenga for women online,Very High,High,Transactional,High,P1,/collections/lehengas,TODO,Very competitive
bandhani lehenga online,Medium,Medium,Transactional,Medium,P1,/collections/bandhani-lehenga,TODO,Niche sub-cat
bandhani dupatta online,Medium,Low-Medium,Transactional,Low,P2,/collections/bandhani-dupatta,TODO,Low competition win
salwar suit online,Very High,High,Transactional,High,P2,/collections/salwar-suits,TODO,High volume
Jaipuri bandhani saree,Medium,Low,Transactional/Info,Low,P2,/collections/bandhani-saree,TODO,Regional advantage
gota patti saree online,Medium,Low,Transactional/Info,Low,P2,/collections/bandhani-saree,TODO,Craft origin advantage
leheriya saree online,Medium,Low,Transactional/Info,Low,P2,/collections/bandhani-saree,TODO,Regional specific
bridal lehenga online,High,High,Transactional,High,P1,/collections/lehengas,TODO,High commercial intent
wedding saree online,High,High,Transactional,High,P1,/collections/wedding-saree,TODO,Key seasonal
bridal saree online,High,High,Transactional,High,P1,/collections/bridal-saree,TODO,Bridal season
ethnic wear for women,Very High,High,Transactional/Info,Medium,P2,/collections/all-products,TODO,Big bucket term
buy ethnic wear online India,High,High,Transactional,Medium,P2,/collections/all-products,TODO,
cotton bandhani saree,Medium,Low,Transactional/Info,Low,P3,/collections/bandhani-saree,TODO,Daily wear segment
silk bandhani saree,Medium,Medium,Transactional,Medium,P2,/collections/bandhani-saree,TODO,Premium segment
bandhej saree buy online,Medium,Low-Medium,Transactional,Low,P1,/collections/bandhani-saree,TODO,Variant spelling
buy lehenga for wedding,High,High,Transactional,High,P1,/collections/lehengas,TODO,
party wear lehenga online,High,High,Transactional,High,P2,/collections/lehengas,TODO,
dupatta for saree online,Medium,Medium,Transactional,Low,P2,/collections/bandhani-dupatta,TODO,
Rajasthani lehenga online,Low,Low,Transactional/Info,Low,P2,/collections/lehengas,TODO,Regional advantage
how to wear bandhani saree,Low,Low,Informational,Low,P3,/blogs,CONTENT,How-to content
bandhani saree care tips,Low,Low,Informational,Low,P3,/blogs,CONTENT,Care guide pillar
types of bandhani saree,Medium,Low,Informational,Low,P3,/blogs,CONTENT,Pillar content
lehenga styling tips,Low,Low,Informational,Low,P3,/blogs,CONTENT,Lifestyle content
bandhani vs bandhej,Medium,Low,Informational,Low,P3,/blogs,CONTENT,Comparison content
Gharchola saree online,Low,Low,Transactional,Low,P3,/collections/bandhani-saree,TODO,Niche specific
Panetar saree online,Low,Low,Transactional,Low,P3,/collections/bandhani-saree,TODO,Niche bridal
