Issue ID,Issue Type,URL/Page,Description,Priority,Severity,Assigned To,Created Date,Due Date,Status,Resolution,Resolved Date
T001,URL Structure,ALL Products,"Product URLs contain copy percentage suffixes (e.g. kcpc-premium-ho-silk-saree...copy50%). Causes duplicate content crawl waste.",P1,HIGH,,2026-04-06,,TODO,301 redirect all variants to clean URL base,
T002,Schema Missing,Homepage,"No JSON-LD structured data on homepage. Missing Organization, WebSite, BreadcrumbList schemas.",P1,HIGH,,2026-04-06,,TODO,Add comprehensive JSON-LD schema markup,
T003,Schema Missing,Product Pages,"No Product schema on product pages. Rich snippets will not appear in SERPs.",P1,HIGH,,2026-04-06,,TODO,Add Product JSON-LD schema to all product pages,
T004,Google Business,Business,"Google Business Profile not claimed. Missing local SEO foundation.",P1,HIGH,,2026-04-06,,TODO,Claim and fully optimize Google Business Profile,
T005,Meta Missing,Collection Pages,"All collection pages likely have auto-generated thin meta descriptions. Need unique keyword-rich descriptions.",P1,HIGH,,2026-04-06,,TODO,Write unique 150-160 char meta for each collection,
T006,Alt Text Missing,All Images,"Bulk of product and collection images likely missing descriptive alt text. Major accessibility + SEO issue.",P1,HIGH,,2026-04-06,,TODO,Bulk audit via Screaming Frog export + add alt text,
T007,Title Tag,Homepage,"Homepage title is generic. No primary keyword included.",P1,HIGH,,2026-04-06,,TODO,Rewrite with primary keyword bandhani saree,
T008,Content Thin,Collection Pages,"Collection pages need 300+ word keyword-rich descriptions. Current content auto-generated and thin.",P2,MEDIUM,,2026-04-06,,TODO,Add structured content to each collection page,
T009,FAQ Schema,Collection Pages,"No FAQ schema on collection pages. Missing FAQ rich results opportunity.",P2,MEDIUM,,2026-04-06,,TODO,Add 5 FAQs with FAQ schema to top 5 collections,
T010,Canonical,All Pages,"Canonical tags not verified across site. Risk of duplicate content issues.",P2,MEDIUM,,2026-04-06,,TODO,Audit and set canonical tags on all page types,
T011,Blog Meta,Blog Posts,"Blog posts need title tag and meta description optimization.",P2,MEDIUM,,2026-04-06,,TODO,Optimize all blog post titles and metas,
T012,Internal Links,Blog Posts,"Blog posts lack internal links to relevant collection and product pages.",P2,MEDIUM,,2026-04-06,,TODO,Add 3-5 internal links per blog post,
T013,Core Web Vitals,Sitewide,"LCP FID CLS metrics not measured yet. Shopify theme may have speed issues.",P2,MEDIUM,,2026-04-06,,TODO,Run PageSpeed Insights audit fix issues,
T014,H1 Structure,Collection Pages,"H1 structure not verified on collection pages. May have multiple H1s or missing H1.",P2,MEDIUM,,2026-04-06,,TODO,Audit and fix H1 structure across all pages,
T015,Robots.txt,Root,"robots.txt file not verified. Need to confirm proper crawl directives.",P3,LOW,,2026-04-06,,TODO,Verify robots.txt has sitemap reference,
